S5,x0000x,x0001x,x0010x,x0011x,x0100x,x0101x,x0110x,x0111x,x1000x,x1001x,x1010x,x1011x,x1100x,x1101x,x1110x,x1111x
0yyyy0,2,12,4,1,7,10,11,6,8,5,3,15,13,0,14,9
0yyyy1,14,11,2,12,4,7,13,1,5,0,15,10,3,9,8,6
1yyyy0,4,2,1,11,10,13,7,8,15,9,12,5,6,3,0,14
1yyyy1,11,8,12,7,1,14,2,13,6,15,0,9,10,4,5,3
