S7,x0000x,x0001x,x0010x,x0011x,x0100x,x0101x,x0110x,x0111x,x1000x,x1001x,x1010x,x1011x,x1100x,x1101x,x1110x,x1111x
0yyyy0,4,11,2,14,15,0,8,13,3,12,9,7,5,10,6,1
0yyyy1,13,0,11,7,4,9,1,10,14,3,5,12,2,15,8,6
1yyyy0,1,4,11,13,12,3,7,14,10,15,6,8,0,5,9,2
1yyyy1,6,11,13,8,1,4,10,7,9,5,0,15,14,2,3,12
