S6,x0000x,x0001x,x0010x,x0011x,x0100x,x0101x,x0110x,x0111x,x1000x,x1001x,x1010x,x1011x,x1100x,x1101x,x1110x,x1111x
0yyyy0,12,1,10,15,9,2,6,8,0,13,3,4,14,7,5,11
0yyyy1,10,15,4,2,7,12,9,5,6,1,13,14,0,11,3,8
1yyyy0,9,14,15,5,2,8,12,3,7,0,4,10,1,13,11,6
1yyyy1,4,3,2,12,9,5,15,10,11,14,1,7,6,0,8,13
