S2,x0000x,x0001x,x0010x,x0011x,x0100x,x0101x,x0110x,x0111x,x1000x,x1001x,x1010x,x1011x,x1100x,x1101x,x1110x,x1111x
0yyyy0,15,1,8,14,6,11,3,4,9,7,2,13,12,0,5,10
0yyyy1,3,13,4,7,15,2,8,14,12,0,1,10,6,9,11,5
1yyyy0,0,14,7,11,10,4,13,1,5,8,12,6,9,3,2,15
1yyyy1,13,8,10,1,3,15,4,2,11,6,7,12,0,5,14,9
